Valoper,Uptime,Total Slashes,Tombstoned,Blocks Active,Signed Blocks,Missed Blocks,Proposed Blocks,Delegators,Stake,Self Stake
storyvaloper1v06kvxy79w02cna4d93c387wzvuewwxnqyxdld,99.84,0,False,656335,655301,1034,4611,115,3122912.0,1024.0
storyvaloper14j90lm6qu2uaux4fkhvg9ftxnl6vff5cegz95r,99.84,0,False,656144,655111,1033,4545,113,2586336.0,1024.0
storyvaloper1pjex68tfp7yh8uvr674z23ae0sv36zxhqzwzj4,99.81,0,False,656074,654832,1242,4589,115,2558689.0,1025.0
storyvaloper1zqxgv84754uy2nz6axe50vd2us0xgh7gghzrz2,99.8,0,False,656138,654816,1322,4657,116,3158756.0,1024.0
storyvaloper1xthp0asrd4eypxcxc5pxc70ctqpfma88ek3vdj,99.8,0,False,656182,654901,1281,4973,115,2926304.0,1024.0
storyvaloper10ryxkfzlxz9l2e85x37k7lr24vd7hxfwz50w3s,99.78,0,False,656144,654709,1435,4477,114,2072288.0,1024.0
storyvaloper15xdpesljm34mgllad7wgjfyknxmz8h9yqqzd6y,99.78,0,False,656077,654666,1411,4637,113,3008224.0,1024.0
storyvaloper1kuxt95cnl7y8pwzw9us0tpe74e2shawsyj5a0x,99.78,0,False,656147,654727,1420,4666,113,2159270.0,6086.0
storyvaloper1qlglvc39s9xmu06x2tqulhvfh56xj93503ep6x,99.77,0,False,656111,654579,1532,4921,115,3080612.0,1024.0
storyvaloper17s93lgl2ym8f98dukr7n9524sedxh8kjgkyfmv,99.75,0,False,656133,654483,1650,4656,113,3010272.0,1024.0
storyvaloper1p3gu02nw270k4v8uuvhkxdzheqw7gxaalhyzq6,99.73,0,False,656158,654376,1782,4689,115,3013410.0,1090.0
storyvaloper1v37kgmzm84vau7jul9a8x7yak37u3ckesdvst4,99.72,0,False,656074,654249,1825,4657,115,3109095.0,4615.0
storyvaloper1lfz5gpyss52c4z0tl40c7xzdwdwvksf9xyhmte,99.71,0,False,656067,654141,1926,4633,114,2757420.0,2124.0
storyvaloper1qxvcwwg608y2gz8q8c94tvtx998wlycg37t9fp,99.69,0,False,656081,654045,2036,4657,116,3049792.0,4704.0
storyvaloper1r9642cstr2z4rwt4z2fgvk50zfcu7gt3r87kgg,99.67,0,False,656111,653938,2173,4596,115,2824928.0,2048.0
storyvaloper1daxk0lukad4950ga6t2nc939gjvpwranre5dd4,99.66,0,False,656167,653950,2217,4591,115,2662112.0,1024.0
storyvaloper16ln96fdcgfa80yp4a0l8tcyqm9x5lnn4yxuuul,99.65,0,False,656072,653767,2305,4519,114,2178784.0,1024.0
storyvaloper1wwmwvr4qc8206chufegztl76089wqjjh42vvrl,99.62,0,False,656085,653577,2508,6018,115,2414128.0,50000.0
storyvaloper1dnhkp552qr7nwr30nu563uzau7qv5dl9myzt4r,99.6,0,False,656133,653508,2625,4722,114,3099436.0,1100.0
storyvaloper1rjn5ew03pr392s0g23rwvnhtnw8z0ctnm0t4gx,99.59,0,False,656075,653410,2665,4666,114,3130154.0,1098.0
storyvaloper18mwm9q0g0wu926x2xmzc4u4g2dngmyhex26cnx,99.58,0,False,656076,653295,2781,4570,116,2587434.0,1098.0
storyvaloper1vcwuam4kp9yq33vcmplkny2rgjcw8tn8ap87pz,99.57,0,False,656084,653289,2795,5977,115,3157672.0,45000.0
storyvaloper14s26qxtpyqkwr76atnn8324tvrhs89j34l8ugf,99.57,0,False,656308,653505,2803,5133,113,2551520.0,1024.0
