Valoper,Uptime,Total Slashes,Tombstoned,Blocks Active,Signed Blocks,Missed Blocks,Proposed Blocks,Delegators,Stake,Self Stake
storyvaloper15xdpesljm34mgllad7wgjfyknxmz8h9yqqzd6y,99.78,0,False,656077,654666,1411,4637,113,3008224.0,1024.0
storyvaloper15a4fph700vr0t0arfsrleeyh4al9087ee3evct,99.78,0,False,20602,20557,45,141,1,22648.0,22648.0
storyvaloper1kuxt95cnl7y8pwzw9us0tpe74e2shawsyj5a0x,99.78,0,False,656147,654727,1420,4666,113,2159270.0,6086.0
storyvaloper1qlglvc39s9xmu06x2tqulhvfh56xj93503ep6x,99.77,0,False,656111,654579,1532,4921,115,3080612.0,1024.0
storyvaloper1tcrwtm792svad9nfkxumyesakx80t2ha4txfns,99.77,0,False,20533,20485,48,139,1,22336.0,22336.0
storyvaloper17s93lgl2ym8f98dukr7n9524sedxh8kjgkyfmv,99.75,0,False,656133,654483,1650,4656,113,3010272.0,1024.0
storyvaloper1p3gu02nw270k4v8uuvhkxdzheqw7gxaalhyzq6,99.73,0,False,656158,654376,1782,4689,115,3013410.0,1090.0
storyvaloper1v37kgmzm84vau7jul9a8x7yak37u3ckesdvst4,99.72,0,False,656074,654249,1825,4657,115,3109095.0,4615.0
storyvaloper1lfz5gpyss52c4z0tl40c7xzdwdwvksf9xyhmte,99.71,0,False,656067,654141,1926,4633,114,2757420.0,2124.0
storyvaloper1qxvcwwg608y2gz8q8c94tvtx998wlycg37t9fp,99.69,0,False,656081,654045,2036,4657,116,3049792.0,4704.0
storyvaloper1zsw5cflczjxrk5ps5lj20dzua94pjdn72guhyn,99.69,0,False,19065,19005,60,129,1,22067.0,22067.0
storyvaloper1r9642cstr2z4rwt4z2fgvk50zfcu7gt3r87kgg,99.67,0,False,656111,653938,2173,4596,115,2824928.0,2048.0
storyvaloper1daxk0lukad4950ga6t2nc939gjvpwranre5dd4,99.66,0,False,656167,653950,2217,4591,115,2662112.0,1024.0
storyvaloper16ln96fdcgfa80yp4a0l8tcyqm9x5lnn4yxuuul,99.65,0,False,656072,653767,2305,4519,114,2178784.0,1024.0
storyvaloper1wwmwvr4qc8206chufegztl76089wqjjh42vvrl,99.62,0,False,656085,653577,2508,6018,115,2414128.0,50000.0
storyvaloper1dnhkp552qr7nwr30nu563uzau7qv5dl9myzt4r,99.6,0,False,656133,653508,2625,4722,114,3099436.0,1100.0
storyvaloper1rjn5ew03pr392s0g23rwvnhtnw8z0ctnm0t4gx,99.59,0,False,656075,653410,2665,4666,114,3130154.0,1098.0
storyvaloper16h45lp8ydnt5e5307n8r3dkzxnvunm548qxpgu,99.59,0,False,21747,21657,90,148,1,24417.0,24417.0
storyvaloper18mwm9q0g0wu926x2xmzc4u4g2dngmyhex26cnx,99.58,0,False,656076,653295,2781,4570,116,2587434.0,1098.0
storyvaloper1fsud00esx6rtp7n7p7mj2xg4v6l7w8lhy8ztdk,99.57,0,False,18170,18091,79,124,1,24824.0,24824.0
storyvaloper1vcwuam4kp9yq33vcmplkny2rgjcw8tn8ap87pz,99.57,0,False,656084,653289,2795,5977,115,3157672.0,45000.0
storyvaloper14s26qxtpyqkwr76atnn8324tvrhs89j34l8ugf,99.57,0,False,656308,653505,2803,5133,113,2551520.0,1024.0
storyvaloper1kwf9x7n8pmpvv7zrhxjfqqecz65a8qgunxaz0q,99.57,0,False,18122,18044,78,104,1,1024.0,1024.0
storyvaloper17ryjtw60pktl48mw88a83qzv9mdjjx2q4f50ru,99.57,0,False,532194,529892,2302,3754,113,2911968.0,2048.0
storyvaloper1sgl4s0ysqq8e3fdhrpxnlw7w2xjq6agqvp8kur,99.54,0,False,548200,545673,2527,3834,114,2633440.0,1024.0
storyvaloper16ds8xjjpt6dm570zm8c9f4l24lepter3k5u8jy,99.54,0,False,656065,653045,3020,4724,114,2991348.0,4624.0
storyvaloper1vvzqyum2njq76w6d2cqeh5a4upqz44g25nzc0s,99.51,0,False,656141,652943,3198,4502,114,2109153.0,1025.0
storyvaloper16hm543j5ckvzj4u8djkkfftkhtrtklnp0f3427,99.51,0,False,656073,652865,3208,4592,114,2606876.0,1084.0
storyvaloper1ecsq9zy0huqvjkuvqewtzea3dtvc5j4hzqju9a,99.49,0,False,18209,18117,92,123,1,19974.0,19974.0
storyvaloper1f2a39llqj4j676htp2xt5tcdj6plh2445elud6,99.48,0,False,656082,652676,3406,4651,115,3149537.0,1025.0
storyvaloper1d0g7xp0qu2dxlqps65cfzz4hx98tncs57qa95t,99.48,0,False,671166,667684,3482,4143,116,2294769.0,1024.0
storyvaloper13jg060qm37deslld3hjwpzfnwgrxrw75tt0jfh,99.46,0,False,656063,652540,3523,4651,114,3072737.0,1025.0
storyvaloper10e4yrqkm6clysrd2dkvkwrtq7u7cphzj7cxay3,99.45,0,False,656062,652448,3614,4593,113,2810667.0,1099.0
storyvaloper1wjl6dzufze67r7rpx5ta2z7kxeeva4h2sawxa8,99.44,0,False,442599,440109,2490,1302,113,2171191.7,27959.7
storyvaloper1rtagk36fkxsa9ntdt6fzq5v2cnnmjhw45zrq96,99.43,0,False,656111,652387,3724,4602,113,2750176.0,1024.0
storyvaloper19x42aqxn7ljsd6jm4492gz5c3n6na88vaxmtgj,99.41,0,False,656063,652202,3861,4789,118,3160400.0,2101.0
storyvaloper1an0thyxr7sgj4ar629whcaeejwkd3duma5djmr,99.39,0,False,656111,652128,3983,4659,114,3056352.0,1024.0
storyvaloper16uszl4wjjjwg9xphn497dpz53k06clthqcajpk,99.38,0,False,656075,651996,4079,4615,114,2941664.0,1024.0
storyvaloper17r05q6nvmzdqnhwd2hv5zguzwulhgfp9a0hd3w,99.38,0,False,656086,652030,4056,4738,115,3075809.0,1024.0
storyvaloper1wc8ylve0cj68jrkc3eywxy5r5nknmj4clh4whr,99.37,0,False,13057,12975,82,8,111,252640.0,1024.0
storyvaloper1hwd4vszjh8fhrfr6yasdx86ydumjxr93mvmh33,99.33,0,False,570950,567140,3810,4033,113,2981600.0,1024.0
storyvaloper10aax54nlscnz4ly62klcmmfs4ys3hgtp0lftag,99.32,0,False,656148,651705,4443,4641,114,3127008.0,1024.0
storyvaloper1faykyn72emusnskkhs2zflkfj80xnx36lek3q9,99.31,0,False,656147,651640,4507,4640,115,3101408.0,1024.0
storyvaloper1lslqq5p5x4zs6t8xrt56mkjjg7cazzft787xzg,99.31,0,False,656081,651524,4557,4556,114,2659041.0,1025.0
storyvaloper1acv5yknlf7atwf03mxd2lecwelmgtctc8j6vcl,99.27,0,False,674244,669333,4911,2356,113,2985048.0,47192.0
storyvaloper1yj8ymdm7l2ek9cjevs3kqxv06gysk6vh2564m3,99.26,0,False,656138,651301,4837,4570,115,2800352.0,1024.0
storyvaloper1yn4gzfjpzuwjpva8e5tspjwufz3mjc0xe07mv5,99.23,0,False,656111,651078,5033,4494,115,2100960.0,1024.0
storyvaloper1rrwuf534h4ft8r5pr7an38u89s3f7gjj839rrh,99.22,0,False,669984,664778,5206,3969,114,3113680.0,99024.0
storyvaloper1826z0gntznjlcpa4weu55uvtp5mmd62ns05gyq,99.18,0,False,18267,18118,149,124,1,19948.0,19948.0
storyvaloper1gdmu99t8qe29jp0a25k0dr9rpmvgxjt0dhc6xl,99.13,0,False,656097,650420,5677,4526,115,2161376.0,1024.0
storyvaloper1qj87mt3zwkfs088430dghtgp8n7cdjs49jvem2,99.12,0,False,656133,650369,5764,4662,116,3133218.0,1090.0
storyvaloper12smnjtdaxdks6zhkxddg3jw5fj9lsruzauwjap,99.1,0,False,18132,17968,164,122,1,19925.0,19925.0
storyvaloper1c564q6073tpthj2x6qhmjrqye4f2txgg9gt2hv,99.08,0,False,656065,650017,6048,4527,114,2267872.0,1024.0
storyvaloper12wt5zqursxdkkvjhp4vrg5qkrjxyn0jaltn6yh,99.07,0,False,656111,649987,6124,4573,114,2641632.0,1024.0
storyvaloper12s2acumq6ycr80jycpt2hzq94xqgtehv2dz8h2,98.99,0,False,674244,667426,6818,16035,118,3422353.0,6000.0
storyvaloper1ujeanmqgxjth2cmm4mmf906pcmvz6urk0htsfv,98.97,0,False,656141,649370,6771,4612,113,2786016.0,1024.0
storyvaloper1k9sq4wgtq4u5yztk2fhkuaygnz0q8wqqkjc88j,98.95,0,False,571137,565155,5982,1889,112,2727376.0,60880.0
storyvaloper1udvjz9ayx65e9xh55fr78v8zn30jsmlrffwgd3,98.94,0,False,656176,649212,6964,5252,114,2910944.0,1024.0
storyvaloper1auna7t7rdcywwq7dlcxy6wn0h8y7y4gl8mxm0k,98.91,0,False,570962,564734,6228,3991,114,2990892.0,2124.0
storyvaloper1eyc3ha3ptevsmhvh907n36s9jvu9fk5hja8hrp,98.89,1,True,208718,206393,2325,1484,6,2824020.8,972.9
storyvaloper1xcmr77ya82eqjp2nkcv5s9mdcuh2tmxav9d9l7,98.87,0,False,674244,666606,7638,5102,116,3106065.0,1024.0
storyvaloper1l6gpgqmucdn7yyuvdyeph74cgs2f7k66u60hq6,98.74,0,False,674244,665777,8467,16009,116,3378278.0,6000.0
storyvaloper13jhfwsvhytq6qw3e42yalg7h88sgtecq46dgu2,98.25,0,False,656111,644638,11473,4476,113,2266848.0,1024.0
storyvaloper139kxvvqfzejt2ejk9ptt9t96h78rxd73xrj927,98.18,0,False,656162,644209,11953,4495,114,2309931.0,1099.0
storyvaloper16e9gt2ppsfysu0sujh8320yffkgww6h4xg2vkq,97.93,0,False,656111,642547,13564,4596,114,2967264.0,1024.0
storyvaloper1gyqunjc9crrwxna3hwvnw6n4laa28r00kxp8pt,97.78,0,False,656083,641488,14595,4816,115,3067616.9,2048.9
storyvaloper1vmvephdv9seepyr9a0zc05208ypu5n0x4k5gwc,97.47,0,False,656080,639498,16582,4516,115,2276064.0,1024.0
storyvaloper1a0jfeywlgey88rw9z987phxgr2rrhz3ep2n0rf,97.24,0,False,656069,637970,18099,4543,113,2915147.0,4203.0
storyvaloper13nwrgmldnp9g9s88cx74a32as7cle36u0v8ck7,97.15,1,False,18476,17950,526,105,1,2047.8,2047.8
storyvaloper1ep7plyu3nx2hrm782zjknjkqzu2hctkfzjnw9q,96.88,0,False,570984,553150,17834,3901,114,2915040.0,1024.0
storyvaloper1amtl58gyd69sy6kdlex9kn5dfc5vkntds539ya,96.81,0,False,656111,635195,20916,4552,114,2822880.0,2048.0
storyvaloper18s6ahmdc27yl3390ptjt98qr03h8tdjnv9hakz,96.48,0,False,656111,633007,23104,4479,115,2881248.0,1024.0
storyvaloper1mrgqjazkfmdj3e2tj4facwkshlzqym3h4g9tan,96.48,0,False,18159,17520,639,123,1,19999.0,19999.0
storyvaloper13xzqljg3yfa5e7ghuvmtzxnwgxyysk9ky3cmzl,95.71,0,False,656066,627894,28172,4413,112,2331360.0,1024.0
storyvaloper1v8pyhyc8npkkl04tpt7uwmev3plpndvwh04qq7,95.34,1,False,671261,639949,31312,9346,124,3273626.8,158992.2
